TLD;Nombre;Dist. graph. TLD;Dist. graph. rand;Diff. graph.
.ma;1;0.000000;0.000000;0.000000
.kr;3;2433155.658139;2342652.902252;-90502.755887
.ke;1;0.000000;0.000000;0.000000
.sm;2;802163.244832;538157.455739;-264005.789093
.pe;1;0.000000;0.000000;0.000000
.tc;2;470842.288942;2024078.987107;1553236.698165
.tz;1;0.000000;0.000000;0.000000
.kz;1;0.000000;0.000000;0.000000
.net);1;0.000000;0.000000;0.000000
.lb;2;1436978.099964;1835945.403424;398967.303460
.103;1;0.000000;0.000000;0.000000
.ac;2;1562371.922001;1867634.450777;305262.528776
.asia;1;0.000000;0.000000;0.000000
.2;1;0.000000;0.000000;0.000000
. c o m;1;0.000000;0.000000;0.000000
.ht;1;0.000000;0.000000;0.000000
.mt;1;0.000000;0.000000;0.000000
.27;1;0.000000;0.000000;0.000000
.sa;1;0.000000;0.000000;0.000000
.yu;1;0.000000;0.000000;0.000000
TOTAL;41518;2734218.640580;2734218.640580;0.000000
